State,Year,Primary_Fuel,Production_Amount
Queensland,2002-03,Crude oil and NGL,627.70
Queensland,2002-03,Naturally occurring LPG,17.80
Queensland,2002-03,Natural gas a,5670.00
Queensland,2002-03,Ethane,0.00
Queensland,2002-03,Liquid/gas biofuels,0.50
Queensland,2002-03,Wood,638.40
Queensland,2002-03,Bagasse,9110.70
Queensland,2002-03,Hydro-electricity,354.00
Queensland,2002-03,Wind b,0.00
Queensland,2002-03,Solar PV,0.00
Queensland,2002-03,Solar hotwater,0.40
Queensland,2003-04,Black coal,160183.00
Queensland,2003-04,Brown coal,0.00
Queensland,2003-04,Crude oil and NGL,615.40
Queensland,2003-04,Naturally occurring LPG,19.70
Queensland,2003-04,Natural gas a,5459.40
Queensland,2003-04,Ethane,0.00
Queensland,2003-04,Liquid/gas biofuels,0.60
Queensland,2003-04,Wood,668.70
Queensland,2003-04,Bagasse,9742.30
Queensland,2003-04,Hydro-electricity,562.00
Queensland,2003-04,Wind b,0.00
Queensland,2003-04,Solar PV,0.00
Queensland,2003-04,Solar hotwater,0.40
Queensland,2004-05,Black coal,173712.20
Queensland,2004-05,Brown coal,0.00
Queensland,2004-05,Crude oil and NGL,636.10
Queensland,2004-05,Naturally occurring LPG,24.20
Queensland,2004-05,Natural gas a,5826.20
Queensland,2004-05,Ethane,0.00
Queensland,2004-05,Liquid/gas biofuels,0.90
Queensland,2004-05,Wood,675.00
Queensland,2004-05,Bagasse,10477.20
Queensland,2004-05,Hydro-electricity,528.00
Queensland,2004-05,Wind b,0.00
Queensland,2004-05,Solar PV,0.00
Queensland,2004-05,Solar hotwater,0.40
Queensland,2005-06,Black coal,171689.00
Queensland,2005-06,Brown coal,0.00
Queensland,2005-06,Crude oil and NGL,619.70
Queensland,2005-06,Naturally occurring LPG,23.40
Queensland,2005-06,Natural gas a,5734.60
Queensland,2005-06,Ethane,0.00
Queensland,2005-06,Liquid/gas biofuels,0.90
Queensland,2005-06,Wood,720.70
Queensland,2005-06,Bagasse,10571.50
Queensland,2005-06,Hydro-electricity,552.00
Queensland,2005-06,Wind b,0.00
Queensland,2005-06,Solar PV,0.00
Queensland,2005-06,Solar hotwater,0.40
Queensland,2006-07,Black coal,184082.50
Queensland,2006-07,Brown coal,0.00
Queensland,2006-07,Crude oil and NGL,943.30
Queensland,2006-07,Naturally occurring LPG,24.30
Queensland,2006-07,Natural gas a,5993.10
Queensland,2006-07,Ethane,0.00
Queensland,2006-07,Liquid/gas biofuels,1.50
Queensland,2006-07,Wood,741.70
Queensland,2006-07,Bagasse,10674.70
Queensland,2006-07,Hydro-electricity,880.00
Queensland,2006-07,Wind b,0.00
Queensland,2006-07,Solar PV,0.00
Queensland,2006-07,Solar hotwater,1.00
Queensland,2007-08,Black coal,180517.90
Queensland,2007-08,Brown coal,0.00
Queensland,2007-08,Crude oil and NGL,1039.90
Queensland,2007-08,Naturally occurring LPG,24.00
Queensland,2007-08,Natural gas a,6486.60
Queensland,2007-08,Ethane,0.00
Queensland,2007-08,Liquid/gas biofuels,2.40
Queensland,2007-08,Wood,761.70
Queensland,2007-08,Bagasse,10892.60
Queensland,2007-08,Hydro-electricity,924.00
Queensland,2007-08,Wind b,0.00
Queensland,2007-08,Solar PV,0.00
Queensland,2007-08,Solar hotwater,1.10
Queensland,2008-09,Black coal,190449.70
Queensland,2008-09,Brown coal,0.00
Queensland,2008-09,Crude oil and NGL,997.90
Queensland,2008-09,Naturally occurring LPG,23.90
Queensland,2008-09,Natural gas a,6484.30
Queensland,2008-09,Ethane,0.00
Queensland,2008-09,Liquid/gas biofuels,3.50
Queensland,2008-09,Wood,680.60
Queensland,2008-09,Bagasse,6080.60
Queensland,2008-09,Hydro-electricity,820.20
Queensland,2008-09,Wind b,27.30
Queensland,2008-09,Solar PV,50.80
Queensland,2008-09,Solar hotwater,1.30
Queensland,2009-10,Black coal,208945.80
Queensland,2009-10,Brown coal,0.00
Queensland,2009-10,Crude oil and NGL,1012.20
Queensland,2009-10,Naturally occurring LPG,12.10
Queensland,2009-10,Natural gas a,7995.70
Queensland,2009-10,Ethane,0.00
Queensland,2009-10,Liquid/gas biofuels,4.20
Queensland,2009-10,Wood,662.20
Queensland,2009-10,Bagasse,9179.70
Queensland,2009-10,Hydro-electricity,572.80
Queensland,2009-10,Wind b,30.90
Queensland,2009-10,Solar PV,121.30
Queensland,2009-10,Solar hotwater,1.70
Queensland,2010-11,Black coal,179833.60
Queensland,2010-11,Brown coal,0.00
Queensland,2010-11,Crude oil and NGL,989.40
Queensland,2010-11,Naturally occurring LPG,9.80
Queensland,2010-11,Natural gas a,7719.40
Queensland,2010-11,Ethane,0.00
Queensland,2010-11,Liquid/gas biofuels,4.40
Queensland,2010-11,Wood,561.20
Queensland,2010-11,Bagasse,8140.30
Queensland,2010-11,Hydro-electricity,965.60
Queensland,2010-11,Wind b,27.30
Queensland,2010-11,Solar PV,400.60
Queensland,2010-11,Solar hotwater,2.10
Queensland,2011-12,Black coal,188247.40
Queensland,2011-12,Brown coal,0.00
Queensland,2011-12,Crude oil and NGL,1141.60
Queensland,2011-12,Naturally occurring LPG,8.60
Queensland,2011-12,Natural gas a,7656.00
Queensland,2011-12,Ethane,0.00
Queensland,2011-12,Liquid/gas biofuels,3.90
Queensland,2011-12,Wood,506.10
Queensland,2011-12,Bagasse,8326.20
Queensland,2011-12,Hydro-electricity,723.20
Queensland,2011-12,Wind b,27.70
Queensland,2011-12,Solar PV,760.30
Queensland,2011-12,Solar hotwater,2.30
Queensland,2012-13,Black coal,202687.70
Queensland,2012-13,Brown coal,0.00
Queensland,2012-13,Crude oil and NGL,1134.00
Queensland,2012-13,Naturally occurring LPG,0.00
Queensland,2012-13,Natural gas a,7864.50
Queensland,2012-13,Ethane,0.00
Queensland,2012-13,Liquid/gas biofuels,3.10
Queensland,2012-13,Wood,576.00
Queensland,2012-13,Bagasse,9593.70
Queensland,2012-13,Hydro-electricity,684.10
Queensland,2012-13,Wind b,30.70
Queensland,2012-13,Solar PV,1310.20
Queensland,2012-13,Solar hotwater,2.40
Queensland,2013-14,Black coal,224979.80
Queensland,2013-14,Brown coal,0.00
Queensland,2013-14,Crude oil and NGL,1208.90
Queensland,2013-14,Naturally occurring LPG,0.00
Queensland,2013-14,Natural gas a,8528.40
Queensland,2013-14,Ethane,0.00
Queensland,2013-14,Liquid/gas biofuels,3.70
Queensland,2013-14,Wood,565.30
Queensland,2013-14,Bagasse,8949.10
Queensland,2013-14,Hydro-electricity,820.90
Queensland,2013-14,Wind b,33.70
Queensland,2013-14,Solar PV,1464.60
Queensland,2013-14,Solar hotwater,2.40
Queensland,2014-15,Black coal,239591.90
Queensland,2014-15,Brown coal,0.00
Queensland,2014-15,Crude oil and NGL,1136.50
Queensland,2014-15,Naturally occurring LPG,0.00
Queensland,2014-15,Natural gas a,12466.20
Queensland,2014-15,Ethane,0.00
Queensland,2014-15,Liquid/gas biofuels,3.70
Queensland,2014-15,Wood,552.70
Queensland,2014-15,Bagasse,10244.30
Queensland,2014-15,Hydro-electricity,649.10
Queensland,2014-15,Wind b,32.50
Queensland,2014-15,Solar PV,1793.90
Queensland,2014-15,Solar hotwater,2.70
Queensland,2015-16,Black coal,237624.80
Queensland,2015-16,Brown coal,0.00
Queensland,2015-16,Crude oil and NGL,1048.00
Queensland,2015-16,Naturally occurring LPG,0.00
Queensland,2015-16,Natural gas a,27211.10
Queensland,2015-16,Ethane,0.00
Queensland,2015-16,Liquid/gas biofuels,3.20
Queensland,2015-16,Wood,571.90
Queensland,2015-16,Bagasse,9994.90
Queensland,2015-16,Hydro-electricity,491.70
Queensland,2015-16,Wind b,28.40
Queensland,2015-16,Solar PV,2063.20
Queensland,2015-16,Solar hotwater,2.70
Queensland,2016-17,Black coal,237674.60
Queensland,2016-17,Brown coal,0.00
Queensland,2016-17,Crude oil and NGL,1016.20
Queensland,2016-17,Naturally occurring LPG,0.00
Queensland,2016-17,Natural gas a,34688.60
Queensland,2016-17,Ethane,0.00
Queensland,2016-17,Liquid/gas biofuels,3.30
Queensland,2016-17,Wood,509.60
Queensland,2016-17,Bagasse,10853.50
Queensland,2016-17,Hydro-electricity,672.20
Queensland,2016-17,Wind b,29.00
Queensland,2016-17,Solar PV,2370.00
Queensland,2016-17,Solar hotwater,2.80
Queensland,2017-18,Black coal,248621.80
Queensland,2017-18,Brown coal,0.00
Queensland,2017-18,Crude oil and NGL,763.30
Queensland,2017-18,Naturally occurring LPG,66.40
Queensland,2017-18,Natural gas a,35738.90
Queensland,2017-18,Ethane,0.00
Queensland,2017-18,Liquid/gas biofuels,3.40
Queensland,2017-18,Wood,471.40
Queensland,2017-18,Bagasse,9763.60
Queensland,2017-18,Hydro-electricity,646.10
Queensland,2017-18,Wind b,30.30
Queensland,2017-18,Solar PV,2932.30
Queensland,2017-18,Solar hotwater,2.90
Queensland,2018-19,Black coal,250568.60
Queensland,2018-19,Brown coal,0.00
Queensland,2018-19,Crude oil and NGL,710.90
Queensland,2018-19,Naturally occurring LPG,116.60
Queensland,2018-19,Natural gas a,38083.50
Queensland,2018-19,Ethane,0.00
Queensland,2018-19,Liquid/gas biofuels,4.10
Queensland,2018-19,Wood,502.30
Queensland,2018-19,Bagasse,8962.10
Queensland,2018-19,Hydro-electricity,1057.30
Queensland,2018-19,Wind b,399.10
Queensland,2018-19,Solar PV,4821.90
Queensland,2018-19,Solar hotwater,3.00
Queensland,2019-20,Black coal,245054.90
Queensland,2019-20,Brown coal,0.00
Queensland,2019-20,Crude oil and NGL,638.70
Queensland,2019-20,Naturally occurring LPG,175.50
Queensland,2019-20,Natural gas a,40423.80
Queensland,2019-20,Ethane,0.00
Queensland,2019-20,Liquid/gas biofuels,4.30
Queensland,2019-20,Wood,512.60
Queensland,2019-20,Bagasse,8217.00
Queensland,2019-20,Hydro-electricity,634.60
Queensland,2019-20,Wind b,927.90
Queensland,2019-20,Solar PV,7454.80
Queensland,2019-20,Solar hotwater,3.10
Queensland,2020-21,Black coal,227043.00
Queensland,2020-21,Brown coal,0.00
Queensland,2020-21,Crude oil and NGL,505.30
Queensland,2020-21,Naturally occurring LPG,185.60
Queensland,2020-21,Natural gas a,41125.40
Queensland,2020-21,Ethane,0.00
Queensland,2020-21,Liquid/gas biofuels,4.30
Queensland,2020-21,Wood,521.60
Queensland,2020-21,Bagasse,8627.30
Queensland,2020-21,Hydro-electricity,950.20
Queensland,2020-21,Wind b,1826.00
Queensland,2020-21,Solar PV,8556.70
Queensland,2020-21,Solar hotwater,3.30
Queensland,2021-22,Black coal,233849.70
Queensland,2021-22,Brown coal,0.00
Queensland,2021-22,Crude oil and NGL,463.30
Queensland,2021-22,Naturally occurring LPG,146.90
Queensland,2021-22,Natural gas a,41129.40
Queensland,2021-22,Ethane,0.00
Queensland,2021-22,Liquid/gas biofuels,4.80
Queensland,2021-22,Wood,514.50
Queensland,2021-22,Bagasse,8324.20
Queensland,2021-22,Hydro-electricity,1118.90
Queensland,2021-22,Wind b,1850.10
Queensland,2021-22,Solar PV,9985.70
Queensland,2021-22,Solar hotwater,3.40
Queensland,2022-23,Black coal,227223.60
Queensland,2022-23,Brown coal,0.00
Queensland,2022-23,Crude oil and NGL,413.30
Queensland,2022-23,Naturally occurring LPG,106.90
Queensland,2022-23,Natural gas a,39868.90
Queensland,2022-23,Ethane,0.00
Queensland,2022-23,Liquid/gas biofuels,5.10
Queensland,2022-23,Wood,497.90
Queensland,2022-23,Bagasse,9159.00
Queensland,2022-23,Hydro-electricity,1244.10
Queensland,2022-23,Wind b,2124.80
Queensland,2022-23,Solar PV,12620.40
Queensland,2022-23,Solar hotwater,3.60
Western Australia,2000-01,Black coal,6193.00
Western Australia,2000-01,Brown coal,0.00
Western Australia,2000-01,Crude oil and NGL,19130.00
Western Australia,2000-01,Naturally occurring LPG,1493.00
Western Australia,2000-01,Natural gas a,19178.00
Western Australia,2000-01,Ethane,0.00
Western Australia,2000-01,Liquid/gas biofuels,0.00
Western Australia,2000-01,Wood,724.00
Western Australia,2000-01,Bagasse,0.00
Western Australia,2000-01,Hydro-electricity,202.00
Western Australia,2000-01,Wind b,0.00
Western Australia,2000-01,Solar PV,0.00
Western Australia,2000-01,Solar hotwater,1.10
Western Australia,2001-02,Black coal,6595.00
Western Australia,2001-02,Brown coal,0.00
Western Australia,2001-02,Crude oil and NGL,21107.00
Western Australia,2001-02,Naturally occurring LPG,2028.00
Western Australia,2001-02,Natural gas a,19444.00
Western Australia,2001-02,Ethane,0.00
Western Australia,2001-02,Liquid/gas biofuels,0.00
Western Australia,2001-02,Wood,770.00
Western Australia,2001-02,Bagasse,0.00
Western Australia,2001-02,Hydro-electricity,212.00
Western Australia,2001-02,Wind b,0.00
Western Australia,2001-02,Solar PV,0.00
Western Australia,2001-02,Solar hotwater,1.10
Western Australia,2002-03,Black coal,6136.00
Western Australia,2002-03,Brown coal,0.00
Western Australia,2002-03,Crude oil and NGL,19693.50
Western Australia,2002-03,Naturally occurring LPG,1910.80
Western Australia,2002-03,Natural gas a,20179.20
Western Australia,2002-03,Ethane,0.00
Western Australia,2002-03,Liquid/gas biofuels,1.20
Western Australia,2002-03,Wood,650.90
Western Australia,2002-03,Bagasse,139.40
Western Australia,2002-03,Hydro-electricity,207.00
Western Australia,2002-03,Wind b,0.00
Western Australia,2002-03,Solar PV,0.00
Western Australia,2002-03,Solar hotwater,1.20
Western Australia,2003-04,Black coal,5981.00
Western Australia,2003-04,Brown coal,0.00
Western Australia,2003-04,Crude oil and NGL,17373.80
Western Australia,2003-04,Naturally occurring LPG,1817.10
Western Australia,2003-04,Natural gas a,20560.60
Western Australia,2003-04,Ethane,0.00
Western Australia,2003-04,Liquid/gas biofuels,1.20
Western Australia,2003-04,Wood,638.70
Western Australia,2003-04,Bagasse,139.40
Western Australia,2003-04,Hydro-electricity,206.00
Western Australia,2003-04,Wind b,0.00
Western Australia,2003-04,Solar PV,0.00
Western Australia,2003-04,Solar hotwater,1.10
Western Australia,2004-05,Black coal,6098.50
Western Australia,2004-05,Brown coal,0.00
Western Australia,2004-05,Crude oil and NGL,17189.80
Western Australia,2004-05,Naturally occurring LPG,1963.10
Western Australia,2004-05,Natural gas a,24582.30
Western Australia,2004-05,Ethane,0.00
Western Australia,2004-05,Liquid/gas biofuels,0.60
Western Australia,2004-05,Wood,622.90
Western Australia,2004-05,Bagasse,139.40
Western Australia,2004-05,Hydro-electricity,212.00
Western Australia,2004-05,Wind b,0.00
Western Australia,2004-05,Solar PV,0.00
Western Australia,2004-05,Solar hotwater,1.10
Western Australia,2005-06,Black coal,6681.30
Western Australia,2005-06,Brown coal,0.00
Western Australia,2005-06,Crude oil and NGL,16040.60
Western Australia,2005-06,Naturally occurring LPG,2160.10
Western Australia,2005-06,Natural gas a,25886.80
Western Australia,2005-06,Ethane,0.00
Western Australia,2005-06,Liquid/gas biofuels,0.60
Western Australia,2005-06,Wood,609.30
Western Australia,2005-06,Bagasse,101.90
Western Australia,2005-06,Hydro-electricity,163.00
Western Australia,2005-06,Wind b,0.00
Western Australia,2005-06,Solar PV,0.00
Western Australia,2005-06,Solar hotwater,1.00
Western Australia,2006-07,Black coal,6017.60
Western Australia,2006-07,Brown coal,0.00
Western Australia,2006-07,Crude oil and NGL,19568.60
Western Australia,2006-07,Naturally occurring LPG,2067.30
Western Australia,2006-07,Natural gas a,27198.40
Western Australia,2006-07,Ethane,0.00
Western Australia,2006-07,Liquid/gas biofuels,0.60
Western Australia,2006-07,Wood,596.00
Western Australia,2006-07,Bagasse,98.00
Western Australia,2006-07,Hydro-electricity,150.00
Western Australia,2006-07,Wind b,0.00
Western Australia,2006-07,Solar PV,0.00
Western Australia,2006-07,Solar hotwater,2.40
Western Australia,2007-08,Black coal,6231.40
Western Australia,2007-08,Brown coal,0.00
Western Australia,2007-08,Crude oil and NGL,18302.10
Western Australia,2007-08,Naturally occurring LPG,1500.00
Western Australia,2007-08,Natural gas a,27499.00
Western Australia,2007-08,Ethane,0.00
Western Australia,2007-08,Liquid/gas biofuels,0.90
Western Australia,2007-08,Wood,585.40
Western Australia,2007-08,Bagasse,0.00
Western Australia,2007-08,Hydro-electricity,51.00
Western Australia,2007-08,Wind b,0.00
Western Australia,2007-08,Solar PV,0.00
Western Australia,2007-08,Solar hotwater,2.50
Western Australia,2008-09,Black coal,6979.20
Western Australia,2008-09,Brown coal,0.00
Western Australia,2008-09,Crude oil and NGL,19243.60
Western Australia,2008-09,Naturally occurring LPG,1582.00
Western Australia,2008-09,Natural gas a,29711.70
Western Australia,2008-09,Ethane,0.00
Western Australia,2008-09,Liquid/gas biofuels,1.80
Western Australia,2008-09,Wood,543.90
Western Australia,2008-09,Bagasse,0.00
Western Australia,2008-09,Hydro-electricity,0.00
Western Australia,2008-09,Wind b,675.10
Western Australia,2008-09,Solar PV,18.70
Western Australia,2008-09,Solar hotwater,2.50
Western Australia,2009-10,Black coal,6712.00
Western Australia,2009-10,Brown coal,0.00
Western Australia,2009-10,Crude oil and NGL,18856.10
Western Australia,2009-10,Naturally occurring LPG,1780.40
Western Australia,2009-10,Natural gas a,32847.00
Western Australia,2009-10,Ethane,0.00
Western Australia,2009-10,Liquid/gas biofuels,1.50
Western Australia,2009-10,Wood,476.50
Western Australia,2009-10,Bagasse,0.00
Western Australia,2009-10,Hydro-electricity,0.00
Western Australia,2009-10,Wind b,664.00
Western Australia,2009-10,Solar PV,57.50
Western Australia,2009-10,Solar hotwater,2.70
Western Australia,2010-11,Black coal,7234.50
Western Australia,2010-11,Brown coal,0.00
Western Australia,2010-11,Crude oil and NGL,19738.00
Western Australia,2010-11,Naturally occurring LPG,1687.20
Western Australia,2010-11,Natural gas a,33841.80
Western Australia,2010-11,Ethane,0.00
Western Australia,2010-11,Liquid/gas biofuels,1.60
Western Australia,2010-11,Wood,460.00
Western Australia,2010-11,Bagasse,0.00
Western Australia,2010-11,Hydro-electricity,0.00
Western Australia,2010-11,Wind b,719.30
Western Australia,2010-11,Solar PV,198.10
Western Australia,2010-11,Solar hotwater,2.90
Western Australia,2011-12,Black coal,6986.40
Western Australia,2011-12,Brown coal,0.00
Western Australia,2011-12,Crude oil and NGL,17127.70
Western Australia,2011-12,Naturally occurring LPG,1597.50
Western Australia,2011-12,Natural gas a,31908.30
Western Australia,2011-12,Ethane,0.00
Western Australia,2011-12,Liquid/gas biofuels,0.90
Western Australia,2011-12,Wood,455.60
Western Australia,2011-12,Bagasse,0.00
Western Australia,2011-12,Hydro-electricity,0.00
Western Australia,2011-12,Wind b,1278.70
Western Australia,2011-12,Solar PV,331.40
Western Australia,2011-12,Solar hotwater,3.00
Western Australia,2012-13,Black coal,7494.30
Western Australia,2012-13,Brown coal,0.00
Western Australia,2012-13,Crude oil and NGL,14307.60
Western Australia,2012-13,Naturally occurring LPG,1375.20
Western Australia,2012-13,Natural gas a,38273.20
Western Australia,2012-13,Ethane,0.00
Western Australia,2012-13,Liquid/gas biofuels,0.80
Western Australia,2012-13,Wood,476.00
Western Australia,2012-13,Bagasse,0.00
Western Australia,2012-13,Hydro-electricity,221.30
Western Australia,2012-13,Wind b,1300.20
Western Australia,2012-13,Solar PV,449.50
Western Australia,2012-13,Solar hotwater,3.20
Western Australia,2013-14,Black coal,8000.00
Western Australia,2013-14,Brown coal,0.00
Western Australia,2013-14,Crude oil and NGL,13030.50
Western Australia,2013-14,Naturally occurring LPG,1419.10
Western Australia,2013-14,Natural gas a,39470.70
Western Australia,2013-14,Ethane,0.00
Western Australia,2013-14,Liquid/gas biofuels,1.60
Western Australia,2013-14,Wood,480.30
Western Australia,2013-14,Bagasse,0.00
Western Australia,2013-14,Hydro-electricity,205.40
Western Australia,2013-14,Wind b,1578.80
Western Australia,2013-14,Solar PV,520.00
Western Australia,2013-14,Solar hotwater,3.30
Western Australia,2014-15,Black coal,8000.00
Western Australia,2014-15,Brown coal,0.00
Western Australia,2014-15,Crude oil and NGL,12222.90
Western Australia,2014-15,Naturally occurring LPG,1304.40
Western Australia,2014-15,Natural gas a,39973.20
Western Australia,2014-15,Ethane,0.00
Western Australia,2014-15,Liquid/gas biofuels,1.60
Western Australia,2014-15,Wood,493.80
Western Australia,2014-15,Bagasse,0.00
Western Australia,2014-15,Hydro-electricity,206.10
Western Australia,2014-15,Wind b,1643.20
Western Australia,2014-15,Solar PV,646.00
Western Australia,2014-15,Solar hotwater,3.80
Western Australia,2015-16,Black coal,8000.00
Western Australia,2015-16,Brown coal,0.00
Western Australia,2015-16,Crude oil and NGL,12584.30
Western Australia,2015-16,Naturally occurring LPG,971.80
Western Australia,2015-16,Natural gas a,46135.80
Western Australia,2015-16,Ethane,0.00
Western Australia,2015-16,Liquid/gas biofuels,1.20
Western Australia,2015-16,Wood,494.10
Western Australia,2015-16,Bagasse,0.00
Western Australia,2015-16,Hydro-electricity,217.00
Western Australia,2015-16,Wind b,1476.50
Western Australia,2015-16,Solar PV,789.10
Western Australia,2015-16,Solar hotwater,3.80
Western Australia,2016-17,Black coal,6806.40
Western Australia,2016-17,Brown coal,0.00
Western Australia,2016-17,Crude oil and NGL,11061.90
Western Australia,2016-17,Naturally occurring LPG,962.20
Western Australia,2016-17,Natural gas a,55633.50
Western Australia,2016-17,Ethane,0.00
Western Australia,2016-17,Liquid/gas biofuels,1.60
Western Australia,2016-17,Wood,559.00
Western Australia,2016-17,Bagasse,0.00
Western Australia,2016-17,Hydro-electricity,212.60
Western Australia,2016-17,Wind b,1616.70
Western Australia,2016-17,Solar PV,985.40
Western Australia,2016-17,Solar hotwater,4.00
Western Australia,2017-18,Black coal,6680.00
Western Australia,2017-18,Brown coal,0.00
Western Australia,2017-18,Crude oil and NGL,10862.00
Western Australia,2017-18,Naturally occurring LPG,938.50
Western Australia,2017-18,Natural gas a,70227.20
Western Australia,2017-18,Ethane,0.00
Western Australia,2017-18,Liquid/gas biofuels,1.80
Western Australia,2017-18,Wood,497.00
Western Australia,2017-18,Bagasse,0.00
Western Australia,2017-18,Hydro-electricity,220.80
Western Australia,2017-18,Wind b,1587.00
Western Australia,2017-18,Solar PV,1242.00
Western Australia,2017-18,Solar hotwater,4.20
Western Australia,2018-19,Black coal,6274.00
Western Australia,2018-19,Brown coal,0.00
Western Australia,2018-19,Crude oil and NGL,13709.10
Western Australia,2018-19,Naturally occurring LPG,1026.30
Western Australia,2018-19,Natural gas a,86196.20
Western Australia,2018-19,Ethane,0.00
Western Australia,2018-19,Liquid/gas biofuels,1.60
Western Australia,2018-19,Wood,509.10
Western Australia,2018-19,Bagasse,0.00
Western Australia,2018-19,Hydro-electricity,217.00
Western Australia,2018-19,Wind b,1851.20
Western Australia,2018-19,Solar PV,1561.20
Western Australia,2018-19,Solar hotwater,4.40
Western Australia,2019-20,Black coal,6195.60
Western Australia,2019-20,Brown coal,0.00
Western Australia,2019-20,Crude oil and NGL,17060.50
Western Australia,2019-20,Naturally occurring LPG,1035.30
Western Australia,2019-20,Natural gas a,88506.70
Western Australia,2019-20,Ethane,0.00
Western Australia,2019-20,Liquid/gas biofuels,1.40
Western Australia,2019-20,Wood,456.60
Western Australia,2019-20,Bagasse,0.00
Western Australia,2019-20,Hydro-electricity,205.50
Western Australia,2019-20,Wind b,2122.50
Western Australia,2019-20,Solar PV,2010.00
Western Australia,2019-20,Solar hotwater,4.60
Western Australia,2020-21,Black coal,5008.00
Western Australia,2020-21,Brown coal,0.00
Western Australia,2020-21,Crude oil and NGL,15602.40
Western Australia,2020-21,Naturally occurring LPG,929.20
Western Australia,2020-21,Natural gas a,83097.10
Western Australia,2020-21,Ethane,0.00
Western Australia,2020-21,Liquid/gas biofuels,1.40
Western Australia,2020-21,Wood,482.80
Western Australia,2020-21,Bagasse,0.00
Western Australia,2020-21,Hydro-electricity,128.00
Western Australia,2020-21,Wind b,3140.50
Western Australia,2020-21,Solar PV,2785.10
Western Australia,2020-21,Solar hotwater,4.90
Western Australia,2021-22,Black coal,5202.40
Western Australia,2021-22,Brown coal,0.00
Western Australia,2021-22,Crude oil and NGL,16396.00
Western Australia,2021-22,Naturally occurring LPG,965.60
Western Australia,2021-22,Natural gas a,90503.60
Western Australia,2021-22,Ethane,0.00
Western Australia,2021-22,Liquid/gas biofuels,1.80
Western Australia,2021-22,Wood,494.00
Western Australia,2021-22,Bagasse,0.00
Western Australia,2021-22,Hydro-electricity,76.50
Western Australia,2021-22,Wind b,3676.70
Western Australia,2021-22,Solar PV,3508.60
Western Australia,2021-22,Solar hotwater,5.20
Western Australia,2022-23,Black coal,5008.00
Western Australia,2022-23,Brown coal,0.00
Western Australia,2022-23,Crude oil and NGL,14362.90
Western Australia,2022-23,Naturally occurring LPG,932.10
Western Australia,2022-23,Natural gas a,97656.90
Western Australia,2022-23,Ethane,0.00
Western Australia,2022-23,Liquid/gas biofuels,1.50
Western Australia,2022-23,Wood,509.20
Western Australia,2022-23,Bagasse,0.00
Western Australia,2022-23,Hydro-electricity,71.30
Western Australia,2022-23,Wind b,3378.60
Western Australia,2022-23,Solar PV,4067.00
Western Australia,2022-23,Solar hotwater,5.40
South Australia,2000-01,Black coal,0.00
South Australia,2000-01,Brown coal,3160.00
South Australia,2000-01,Crude oil and NGL,906.00
South Australia,2000-01,Naturally occurring LPG,816.00
South Australia,2000-01,Natural gas a,3432.00
South Australia,2000-01,Ethane,344.00
South Australia,2000-01,Liquid/gas biofuels,0.00
South Australia,2000-01,Wood,824.00
South Australia,2000-01,Bagasse,0.00
South Australia,2000-01,Hydro-electricity,0.00
South Australia,2000-01,Wind b,0.00
South Australia,2000-01,Solar PV,0.00
South Australia,2000-01,Solar hotwater,0.20
South Australia,2001-02,Black coal,0.00
South Australia,2001-02,Brown coal,3365.00
South Australia,2001-02,Crude oil and NGL,868.00
South Australia,2001-02,Naturally occurring LPG,768.00
South Australia,2001-02,Natural gas a,3257.00
South Australia,2001-02,Ethane,269.00
South Australia,2001-02,Liquid/gas biofuels,0.00
South Australia,2001-02,Wood,551.00
South Australia,2001-02,Bagasse,0.00
South Australia,2001-02,Hydro-electricity,0.00
South Australia,2001-02,Wind b,0.00
South Australia,2001-02,Solar PV,0.00
South Australia,2001-02,Solar hotwater,0.20
South Australia,2002-03,Black coal,0.00
South Australia,2002-03,Brown coal,3240.00
South Australia,2002-03,Crude oil and NGL,866.30
South Australia,2002-03,Naturally occurring LPG,783.30
South Australia,2002-03,Natural gas a,3018.90
South Australia,2002-03,Ethane,242.80
South Australia,2002-03,Liquid/gas biofuels,2.00
South Australia,2002-03,Wood,787.10
South Australia,2002-03,Bagasse,0.00
South Australia,2002-03,Hydro-electricity,0.00
South Australia,2002-03,Wind b,0.00
South Australia,2002-03,Solar PV,0.00
South Australia,2002-03,Solar hotwater,0.20
South Australia,2003-04,Black coal,0.00
South Australia,2003-04,Brown coal,3208.00
South Australia,2003-04,Crude oil and NGL,683.50
South Australia,2003-04,Naturally occurring LPG,826.70
South Australia,2003-04,Natural gas a,2180.70
South Australia,2003-04,Ethane,207.40
South Australia,2003-04,Liquid/gas biofuels,2.00
South Australia,2003-04,Wood,741.90
South Australia,2003-04,Bagasse,0.00
South Australia,2003-04,Hydro-electricity,0.00
South Australia,2003-04,Wind b,0.00
South Australia,2003-04,Solar PV,0.00
South Australia,2003-04,Solar hotwater,0.20
South Australia,2004-05,Black coal,0.00
South Australia,2004-05,Brown coal,3381.30
South Australia,2004-05,Crude oil and NGL,679.40
South Australia,2004-05,Naturally occurring LPG,663.40
South Australia,2004-05,Natural gas a,1706.80
South Australia,2004-05,Ethane,225.00
South Australia,2004-05,Liquid/gas biofuels,1.00
South Australia,2004-05,Wood,711.00
South Australia,2004-05,Bagasse,0.00
South Australia,2004-05,Hydro-electricity,0.00
South Australia,2004-05,Wind b,0.00
South Australia,2004-05,Solar PV,0.00
