State,Year,Primary_Fuel,Energy_Amount
Queensland,2021-22,Coal,485.6
Queensland,2021-22,Oil,505
Queensland,2021-22,Gas,305.7
Queensland,2021-22,Renewables,143.2
Queensland,2022-23,Coal,471.1
Queensland,2022-23,Oil,532.6
Queensland,2022-23,Gas,290.5
Queensland,2022-23,Renewables,162.2
Western Australia,2008-09,Coal,132.9
Western Australia,2008-09,Oil,294.3
Western Australia,2008-09,Gas,474.7
Western Australia,2008-09,Renewables,15.6
Western Australia,2009-10,Coal,125.6
Western Australia,2009-10,Oil,290
Western Australia,2009-10,Gas,474.9
Western Australia,2009-10,Renewables,14.6
Western Australia,2010-11,Coal,130.6
Western Australia,2010-11,Oil,341.5
Western Australia,2010-11,Gas,494.9
Western Australia,2010-11,Renewables,15.3
Western Australia,2011-12,Coal,125
Western Australia,2011-12,Oil,339.5
Western Australia,2011-12,Gas,503.4
Western Australia,2011-12,Renewables,17
Western Australia,2012-13,Coal,129.8
Western Australia,2012-13,Oil,357.5
Western Australia,2012-13,Gas,515.5
Western Australia,2012-13,Renewables,18.8
Western Australia,2013-14,Coal,136.1
Western Australia,2013-14,Oil,373.5
Western Australia,2013-14,Gas,536.1
Western Australia,2013-14,Renewables,20.9
Western Australia,2014-15,Coal,127.6
Western Australia,2014-15,Oil,355.6
Western Australia,2014-15,Gas,539.9
Western Australia,2014-15,Renewables,22.3
Western Australia,2015-16,Coal,136.4
Western Australia,2015-16,Oil,403.7
Western Australia,2015-16,Gas,561.9
Western Australia,2015-16,Renewables,21.9
Western Australia,2016-17,Coal,145.9
Western Australia,2016-17,Oil,411.4
Western Australia,2016-17,Gas,594.9
Western Australia,2016-17,Renewables,24.8
Western Australia,2017-18,Coal,136.2
Western Australia,2017-18,Oil,405.2
Western Australia,2017-18,Gas,643.3
Western Australia,2017-18,Renewables,25
Western Australia,2018-19,Coal,126.8
Western Australia,2018-19,Oil,439.4
Western Australia,2018-19,Gas,667.8
Western Australia,2018-19,Renewables,27.3
Western Australia,2019-20,Coal,119.5
Western Australia,2019-20,Oil,423.8
Western Australia,2019-20,Gas,692.6
Western Australia,2019-20,Renewables,29.1
Western Australia,2020-21,Coal,114.3
Western Australia,2020-21,Oil,418.5
Western Australia,2020-21,Gas,670.1
Western Australia,2020-21,Renewables,35.9
Western Australia,2021-22,Coal,121.1
Western Australia,2021-22,Oil,422.6
Western Australia,2021-22,Gas,673.1
Western Australia,2021-22,Renewables,41.1
Western Australia,2022-23,Coal,99.4
Western Australia,2022-23,Oil,447.1
Western Australia,2022-23,Gas,704.8
Western Australia,2022-23,Renewables,42.2
South Australia,2008-09,Coal,80.2
South Australia,2008-09,Oil,120.2
South Australia,2008-09,Gas,134
South Australia,2008-09,Renewables,21.2
South Australia,2009-10,Coal,79.7
South Australia,2009-10,Oil,120.5
South Australia,2009-10,Gas,119.5
South Australia,2009-10,Renewables,20.4
South Australia,2010-11,Coal,72.6
South Australia,2010-11,Oil,119.3
South Australia,2010-11,Gas,121.8
South Australia,2010-11,Renewables,23.8
South Australia,2011-12,Coal,60.9
South Australia,2011-12,Oil,89.4
South Australia,2011-12,Gas,125.2
South Australia,2011-12,Renewables,24.7
South Australia,2012-13,Coal,50.7
South Australia,2012-13,Oil,147.4
South Australia,2012-13,Gas,124.6
South Australia,2012-13,Renewables,25.1
South Australia,2013-14,Coal,46.7
South Australia,2013-14,Oil,141
South Australia,2013-14,Gas,110.1
South Australia,2013-14,Renewables,29.1
South Australia,2014-15,Coal,54
South Australia,2014-15,Oil,163.4
South Australia,2014-15,Gas,99.5
South Australia,2014-15,Renewables,30.7
South Australia,2015-16,Coal,52.6
South Australia,2015-16,Oil,121.2
South Australia,2015-16,Gas,100.6
South Australia,2015-16,Renewables,31.6
South Australia,2016-17,Coal,26.1
South Australia,2016-17,Oil,106.6
South Australia,2016-17,Gas,109.6
South Australia,2016-17,Renewables,31.9
South Australia,2017-18,Coal,25.9
South Australia,2017-18,Oil,149
South Australia,2017-18,Gas,120.4
South Australia,2017-18,Renewables,37.3
South Australia,2018-19,Coal,26.3
South Australia,2018-19,Oil,148.8
South Australia,2018-19,Gas,108.3
South Australia,2018-19,Renewables,39
South Australia,2019-20,Coal,24.7
South Australia,2019-20,Oil,146
