State,Year,Fuel_Type,Energy_Unit
Queensland,2020-21,Oil,501.811
Queensland,2020-21,Renewables,139.606
Queensland,2021-22,Coal,485.647
Queensland,2021-22,Gas,305.693
Queensland,2021-22,Oil,504.954
Queensland,2021-22,Renewables,143.158
Queensland,2022-23,Coal,471.089
Queensland,2022-23,Gas,290.533
Queensland,2022-23,Oil,532.568
Queensland,2022-23,Renewables,162.23
Western Australia,2008-09,Coal,132.946
Western Australia,2008-09,Gas,474.676
Western Australia,2008-09,Oil,294.343
Western Australia,2008-09,Renewables,15.59
Western Australia,2009-10,Coal,125.583
Western Australia,2009-10,Gas,474.864
Western Australia,2009-10,Oil,289.95
Western Australia,2009-10,Renewables,14.61
Western Australia,2010-11,Coal,130.576
Western Australia,2010-11,Gas,494.908
Western Australia,2010-11,Oil,341.495
Western Australia,2010-11,Renewables,15.274
Western Australia,2011-12,Coal,124.969
Western Australia,2011-12,Gas,503.352
Western Australia,2011-12,Oil,339.507
Western Australia,2011-12,Renewables,17.044
Western Australia,2012-13,Coal,129.807
Western Australia,2012-13,Gas,515.484
Western Australia,2012-13,Oil,357.523
Western Australia,2012-13,Renewables,18.843
Western Australia,2013-14,Coal,136.09
Western Australia,2013-14,Gas,536.073
Western Australia,2013-14,Oil,373.476
Western Australia,2013-14,Renewables,20.925
Western Australia,2014-15,Coal,127.613
Western Australia,2014-15,Gas,539.857
Western Australia,2014-15,Oil,355.581
Western Australia,2014-15,Renewables,22.292
Western Australia,2015-16,Coal,136.413
Western Australia,2015-16,Gas,561.91
Western Australia,2015-16,Oil,403.691
Western Australia,2015-16,Renewables,21.894
Western Australia,2016-17,Coal,145.855
Western Australia,2016-17,Gas,594.861
Western Australia,2016-17,Oil,411.384
Western Australia,2016-17,Renewables,24.751
Western Australia,2017-18,Coal,136.243
Western Australia,2017-18,Gas,643.291
Western Australia,2017-18,Oil,405.221
Western Australia,2017-18,Renewables,24.999
Western Australia,2018-19,Coal,126.785
Western Australia,2018-19,Gas,667.756
Western Australia,2018-19,Oil,439.361
Western Australia,2018-19,Renewables,27.289
Western Australia,2019-20,Coal,119.508
